Wall time,Step,Value
1730095546.6389482,369128,0.5199999809265137
1730095549.5873961,369504,0.5099999904632568
1730095570.3661628,371544,0.47999998927116394
1730095576.5322654,372208,0.47999998927116394
1730095582.2593427,372904,0.47999998927116394
1730095585.4101732,373160,0.4699999988079071
1730095589.0060623,373552,0.46000000834465027
1730095620.110397,376544,0.4399999976158142
1730095626.7066023,377232,0.46000000834465027
1730095637.270763,378312,0.47999998927116394
1730095649.5487216,379632,0.46000000834465027
1730095656.7585096,380304,0.47999998927116394
1730095660.0348132,380600,0.49000000953674316
1730095663.4931436,380952,0.5099999904632568
1730095673.5282378,381944,0.550000011920929
1730095676.198252,382272,0.5600000023841858
1730095682.7335947,382952,0.5600000023841858
1730095687.113953,383312,0.5600000023841858
1730095690.3245304,383640,0.5699999928474426
1730095700.0785556,384664,0.5899999737739563
1730095703.2304344,385008,0.5899999737739563
1730095739.3121076,388448,0.6399999856948853
1730095745.4546685,389136,0.6499999761581421
1730095748.439875,389440,0.6299999952316284
1730095757.7891269,390440,0.6000000238418579
1730095760.9907207,390768,0.6100000143051147
1730095764.1520267,391136,0.6000000238418579
1730095773.407874,392120,0.5699999928474426
1730095776.7176628,392504,0.5699999928474426
1730095779.5933013,392784,0.5600000023841858
1730095826.3377135,397920,0.5299999713897705
1730095834.367331,398808,0.5899999737739563
1730095840.9694939,399472,0.6200000047683716
1730095845.6899486,399960,0.6399999856948853
1730095853.0425513,400656,0.6800000071525574
1730095855.3671684,400840,0.6800000071525574
1730095866.9457264,402016,0.6700000166893005
1730095876.6733155,402888,0.699999988079071
1730095881.547151,403376,0.7200000286102295
1730095883.8023856,403576,0.699999988079071
1730095888.9518852,404064,0.7300000190734863
1730095896.0613844,404736,0.7300000190734863
1730095904.063432,405424,0.7300000190734863
1730095910.866045,406104,0.7099999785423279
1730095917.747347,406784,0.6899999976158142
1730095919.8776069,406904,0.699999988079071
1730095926.7065876,407576,0.6800000071525574
1730095933.485595,408256,0.6600000262260437
1730095942.1794581,408928,0.6200000047683716
1730095946.221188,409464,0.6100000143051147
1730095948.5551493,409608,0.6399999856948853
1730095953.8949287,410144,0.6299999952316284
1730095956.3381436,410288,0.6399999856948853
1730095992.3084362,413648,0.5799999833106995
1730096006.3399715,415008,0.6000000238418579
1730096020.6123483,416376,0.6000000238418579
1730096025.2251527,416936,0.6000000238418579
1730096027.221089,417048,0.6100000143051147
1730096033.7666688,417728,0.6399999856948853
1730096044.384823,418952,0.6600000262260437
1730096054.0605106,419776,0.699999988079071
1730096060.7675788,420448,0.7099999785423279
1730096067.2008028,421120,0.699999988079071
1730096072.4539397,421680,0.7099999785423279
1730096079.1165988,422336,0.7400000095367432
1730096092.5939415,423688,0.7699999809265137
1730096094.1212595,423824,0.7599999904632568
1730096099.0163984,424376,0.7599999904632568
1730096105.054135,425080,0.7799999713897705
1730096106.5313184,425176,0.7799999713897705
1730096116.705445,426352,0.7799999713897705
1730096118.0862577,426464,0.7799999713897705
1730096122.8976693,427016,0.7699999809265137
1730096124.657115,427152,0.7599999904632568
1730096129.006959,427688,0.7599999904632568
1730096130.698248,427832,0.75
1730096149.5186667,429624,0.75
1730096151.854056,429840,0.7599999904632568
1730096158.1508825,430520,0.7400000095367432
1730096171.388287,431864,0.7200000286102295
1730096176.07757,432320,0.7400000095367432
1730096182.4889894,433000,0.7200000286102295
1730096195.8645525,434360,0.75
1730096202.7820678,435056,0.7599999904632568
1730096216.652249,436408,0.7900000214576721
1730096218.6424794,436624,0.7900000214576721
1730096222.5824938,437096,0.800000011920929
1730096225.090248,437264,0.7799999713897705
1730096231.7816908,437944,0.8100000023841858
1730096242.6298506,439152,0.8299999833106995
1730096245.8031864,439280,0.8199999928474426
1730096251.7957602,439960,0.8299999833106995
1730096257.105145,440504,0.8399999737739563
1730096258.8455791,440640,0.8199999928474426
1730096281.6913185,442672,0.8100000023841858
1730096288.4505343,443344,0.800000011920929
1730096292.3052409,443784,0.7900000214576721
1730096298.4668252,444464,0.7799999713897705
1730096300.6241496,444680,0.7900000214576721
1730096310.945821,445800,0.8100000023841858
1730096313.7369695,446040,0.8100000023841858
1730096330.0475533,447784,0.7900000214576721
1730096332.950529,448104,0.7900000214576721
1730096336.0451689,448464,0.800000011920929
1730096344.5672474,449376,0.8199999928474426
1730096350.8720915,450056,0.8199999928474426
1730096355.035722,450528,0.8199999928474426
1730096357.229495,450736,0.8199999928474426
1730096361.457969,451192,0.800000011920929
1730096363.97001,451432,0.8100000023841858
1730096368.140632,451888,0.8100000023841858
1730096377.2742078,452784,0.8199999928474426
1730096387.198087,453904,0.8199999928474426
1730096402.5786307,455472,0.800000011920929
1730096406.4701946,455944,0.800000011920929
1730096410.2051558,456144,0.8100000023841858
1730096414.1416643,456600,0.7799999713897705
1730096425.930129,457856,0.7900000214576721
1730096439.249552,459240,0.8100000023841858
1730096444.9761603,459904,0.8199999928474426
1730096448.174979,460264,0.8100000023841858
1730096463.5493147,461616,0.8100000023841858
1730096476.4851706,462984,0.8399999737739563
1730096499.3764195,465320,0.8199999928474426
1730096506.9963624,466000,0.8100000023841858
1730096516.6345696,467024,0.7799999713897705
1730096523.073078,467720,0.7799999713897705
1730096526.0665507,468008,0.7900000214576721
1730096532.7956345,468680,0.800000011920929
1730096535.889854,469040,0.800000011920929
1730096539.0606503,469384,0.7900000214576721
1730096545.0474985,470056,0.7900000214576721
1730096549.2932394,470432,0.800000011920929
1730096558.6528018,471408,0.7799999713897705
1730096617.4952452,477152,0.7200000286102295
1730096619.906231,477408,0.7200000286102295
1730096623.9077394,477824,0.7200000286102295
1730096627.087556,478144,0.7099999785423279
1730096641.2760663,479480,0.7099999785423279
1730096651.0916197,480520,0.7599999904632568
1730096653.9269853,480824,0.7599999904632568
1730096664.2784052,481888,0.7599999904632568
1730096667.708768,482176,0.7599999904632568
1730096671.0618103,482576,0.7400000095367432
1730096686.5921104,483920,0.7699999809265137
1730096689.3538325,484248,0.7699999809265137
1730096692.7655632,484624,0.7799999713897705
1730096699.2278142,485288,0.7900000214576721
1730096702.9526553,485624,0.800000011920929
1730096706.4217885,485968,0.8100000023841858
1730096712.6788247,486640,0.8199999928474426
1730096719.2002127,487304,0.8299999833106995
1730096737.526419,489336,0.800000011920929
1730096744.489246,490032,0.7900000214576721
1730096761.9439995,491728,0.8299999833106995
1730096764.544537,491968,0.8500000238418579
1730096793.758653,494984,0.8100000023841858
1730096796.6857293,495344,0.800000011920929
1730096833.1856298,499024,0.8399999737739563
1730096845.2341785,500280,0.8399999737739563
1730096849.3745272,500776,0.8500000238418579
1730096858.0427234,501608,0.8600000143051147
1730096862.4647229,502160,0.8799999952316284
1730096870.5662677,502944,0.8799999952316284
1730096876.6240494,503608,0.8999999761581421
1730096881.554814,504200,0.9100000262260437
1730096883.4141772,504288,0.9100000262260437
1730096907.8693545,506872,0.8799999952316284
1730096909.3568418,506992,0.8700000047683716
1730096915.1938875,507552,0.8799999952316284
1730096917.275133,507696,0.8799999952316284
1730096923.57533,508352,0.8899999856948853
1730096927.5166388,508808,0.8999999761581421
1730096935.9218364,509496,0.9100000262260437
1730096938.10256,509720,0.8999999761581421
1730096943.7812746,510168,0.8999999761581421
1730096945.7327578,510376,0.8999999761581421
1730096962.3372347,512232,0.8899999856948853
1730096968.992729,512896,0.8600000143051147
1730096983.6984096,514520,0.8899999856948853
1730096987.8550148,514936,0.8899999856948853
1730096996.8388429,515872,0.9100000262260437
1730097020.398693,518336,0.8799999952316284
1730097026.5253854,519040,0.8700000047683716
1730097057.561454,522336,0.8600000143051147
1730097064.1018255,523016,0.8600000143051147
1730097066.778299,523304,0.8500000238418579
1730097074.2675247,524008,0.8199999928474426
1730097077.2226884,524376,0.8100000023841858
1730097083.7352362,525048,0.800000011920929
1730097087.2501104,525384,0.800000011920929
1730097107.6508389,527416,0.800000011920929
1730097110.5779517,527728,0.7900000214576721
1730097131.7524889,529784,0.7900000214576721
1730097134.7912369,530040,0.7799999713897705
1730097165.0772603,533184,0.8199999928474426
1730097167.5528595,533464,0.8299999833106995
1730097178.4638772,534520,0.8100000023841858
1730097185.2667344,535168,0.800000011920929
1730097197.7900066,536504,0.8299999833106995
1730097218.3132007,538496,0.8399999737739563
1730097224.3037183,539176,0.8100000023841858
1730097228.6917963,539624,0.8199999928474426
1730097234.6154466,540304,0.8100000023841858
1730097243.2530909,541216,0.8500000238418579
1730097249.7454512,541904,0.8299999833106995
1730097254.0080402,542344,0.8299999833106995
1730097267.8607712,543688,0.8199999928474426
1730097270.1872597,543880,0.8199999928474426
1730097276.6559958,544560,0.8299999833106995
1730097280.3656626,544992,0.8299999833106995
1730097283.1495876,545232,0.8399999737739563
1730097289.4479349,545680,0.8399999737739563
1730097298.1702101,546600,0.8199999928474426
1730097302.1719508,547016,0.8299999833106995
1730097305.0618763,547280,0.8299999833106995
1730097317.714672,548584,0.8199999928474426
1730097324.1675248,549272,0.800000011920929
